pd_timestamp,relative_timestamp,activity,activity_file,case_id,path
4642,5539,lstat,lstat | mvnw.cmd,10,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr10/mvnw.cmd\0"""
4661,5783,lstat,lstat | pom.xml,10,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr10/pom.xml\0"""
4681,5907,lstat,lstat | README.md,10,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr10/README.md\0"""
4693,6030,lstat,lstat | compose.yml,10,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr10/docker-compose.yml\0"""
4704,6175,lstat,lstat | config.yml,10,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr10/_config.yml\0"""
14057,85924989,getattrlist,getattrlist | config.yml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/_config.yml\0"""
14058,85925035,stat64,stat64 | config.yml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/_config.yml\0"""
14059,85925130,access,access | config.yml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/_config.yml\0"""
14060,85925172,stat64,stat64 | config.yml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/_config.yml\0"""
14061,85925284,getattrlist,getattrlist | compose.yml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/docker-compose.yml\0"""
14062,85925302,stat64,stat64 | compose.yml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/docker-compose.yml\0"""
14063,85925312,access,access | compose.yml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/docker-compose.yml\0"""
14064,85925336,stat64,stat64 | compose.yml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/docker-compose.yml\0"""
14076,85925663,getattrlist,getattrlist | mvnw.cmd,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/mvnw.cmd\0"""
14077,85925683,stat64,stat64 | mvnw.cmd,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/mvnw.cmd\0"""
14078,85925691,access,access | mvnw.cmd,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/mvnw.cmd\0"""
14079,85925700,stat64,stat64 | mvnw.cmd,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/mvnw.cmd\0"""
14080,85925732,getattrlist,getattrlist | pom.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/pom.xml\0"""
14081,85925747,stat64,stat64 | pom.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/pom.xml\0"""
14082,85925754,access,access | pom.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/pom.xml\0"""
14083,85925760,stat64,stat64 | pom.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/pom.xml\0"""
