pd_timestamp,relative_timestamp,activity,activity_file,case_id,path
2097,1675435,access,access | icon.svg,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.idea/icon.svg\0"""
2100,1675481,access,access | icon.png,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.idea/icon.png\0"""
2103,1675702,access,access | icon.svg,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/icon.svg\0"""
2105,1675739,access,access | icon.png,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/icon.png\0"""
2235,1676976,access,access | icon.svg,3,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr3/.idea/icon.svg\0"""
2237,1676993,access,access | icon.png,3,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr3/.idea/icon.png\0"""
5653,1678317,access,access | icon.svg,6,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr6/.idea/icon.svg\0"""
5655,1678333,access,access | icon.png,6,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr6/.idea/icon.png\0"""
5664,1678528,access,access | icon.svg,5,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr5/.idea/icon.svg\0"""
5667,1678541,access,access | icon.png,5,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr5/.idea/icon.png\0"""
6064,1678750,access,access | icon.svg,4,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr4/.idea/icon.svg\0"""
6068,1678773,access,access | icon.png,4,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr4/.idea/icon.png\0"""
6467,1679054,access,access | icon.svg,3,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr3/.idea/icon.svg\0"""
6470,1679069,access,access | icon.png,3,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr3/.idea/icon.png\0"""
6653,1679301,access,access | icon.svg,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.idea/icon.svg\0"""
6655,1679317,access,access | icon.png,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.idea/icon.png\0"""
14430,1318588,stat64,stat64 | ant.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/ant.xml\0"""
18418,6802199,stat64,stat64 | markdown.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/markdown.xml\0"""
21454,14736,open,open | mvnw.cmd,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/mvnw.cmd\0"""
24435,4561197,stat64,stat64 | protoeditor.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/protoeditor.xml\0"""
26138,432988,stat64,stat64 | kotlinc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/kotlinc.xml\0"""
26142,433021,open,open | kotlinc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/kotlinc.xml\0"""
26479,339726,stat64,stat64 | settings.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/copyright/profiles_settings.xml\0"""
28252,374937,stat64,stat64 | maven.config,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.mvn/maven.config\0"""
28257,375072,stat64,stat64 | maven.config,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.mvn/maven.config\0"""
45507,325384,lstat,lstat | pom.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/pom.xml\0"""
45508,325403,lstat,lstat | mvnw.cmd,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/mvnw.cmd\0"""
45509,325420,lstat,lstat | README.md,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/README.md\0"""
45511,325476,lstat,lstat | config.yml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/_config.yml\0"""
45517,325544,lstat,lstat | compose.yml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/docker-compose.yml\0"""
45887,2015787,lstat,lstat | vcs.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/vcs.xml\0"""
45891,2015811,lstat,lstat | misc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/misc.xml\0"""
45901,2015875,lstat,lstat | kotlinc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/kotlinc.xml\0"""
45902,2015887,lstat,lstat | compiler.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/compiler.xml\0"""
45907,2015905,lstat,lstat | encodings.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/encodings.xml\0"""
45909,2015928,lstat,lstat | workspace.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/workspace.xml\0"""
45911,3214890,lstat,lstat | pom.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/auth-server/pom.xml\0"""
45914,2015949,lstat,lstat | jarRepositories.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/jarRepositories.xml\0"""
45916,3214911,lstat,lstat | mvnw.cmd,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/auth-server/mvnw.cmd\0"""
45936,3280074,lstat,lstat | pom.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/main-service/pom.xml\0"""
45938,328419,lstat,lstat | pom.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/eureka-server/pom.xml\0"""
45939,3280097,lstat,lstat | mvnw.cmd,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/main-service/mvnw.cmd\0"""
45941,328437,lstat,lstat | mvnw.cmd,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/eureka-server/mvnw.cmd\0"""
45951,2016219,lstat,lstat | pom.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/video-service/pom.xml\0"""
45953,2016240,lstat,lstat | mvnw.cmd,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/video-service/mvnw.cmd\0"""
