"Event","Time Range","Time (ms)","Thread","Stack Trace","Detail","Level"
"File.Open #1","3s 81ms - 3s 84ms","2","<unknown>","ClasspathCache.getPackageNameHash","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/Xx3UnencodedString.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #1","3s 85ms - 3s 88ms","3","<unknown>","ClasspathCache.getPackageNameHash","Bytes=1,024 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/Xx3UnencodedString.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #2","3s 89ms - 3s 89ms","0","<unknown>","ClasspathCache.getPackageNameHash","Bytes=191 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/Xx3UnencodedString.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #1","3s 89ms - 3s 89ms","0","<unknown>","ClasspathCache.getPackageNameHash","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/Xx3UnencodedString.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #2","3s 90ms - 3s 90ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/CharSequenceAccess.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #3","3s 90ms - 3s 91ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Bytes=1,024 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/CharSequenceAccess.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #4","3s 91ms - 3s 91ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Bytes=172 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/CharSequenceAccess.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #2","3s 91ms - 3s 91ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/CharSequenceAccess.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #3","3s 92ms - 3s 92ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/Access.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #5","3s 92ms - 3s 93ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Bytes=754 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/Access.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #3","3s 93ms - 3s 93ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/Access.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #4","3s 94ms - 3s 94ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/CharSequenceAccess$BaseCharSequenceAccess.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #6","3s 94ms - 3s 95ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Bytes=1,024 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/CharSequenceAccess$BaseCharSequenceAccess.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #7","3s 95ms - 3s 96ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Bytes=1,379 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/CharSequenceAccess$BaseCharSequenceAccess.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #4","3s 96ms - 3s 96ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/CharSequenceAccess$BaseCharSequenceAccess.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #5","3s 97ms - 3s 97ms","0","<unknown>","CharSequenceAccess.<clinit>","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/CharSequenceAccess$LittleEndianCharSequenceAccess.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #8","3s 97ms - 3s 98ms","0","<unknown>","CharSequenceAccess.<clinit>","Bytes=1,024 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/CharSequenceAccess$LittleEndianCharSequenceAccess.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #9","3s 98ms - 3s 98ms","0","<unknown>","CharSequenceAccess.<clinit>","Bytes=670 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/CharSequenceAccess$LittleEndianCharSequenceAccess.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #5","3s 98ms - 3s 98ms","0","<unknown>","CharSequenceAccess.<clinit>","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/CharSequenceAccess$LittleEndianCharSequenceAccess.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #6","3s 99ms - 3s 99ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/Xxh3Impl.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #10","3s 100ms - 3s 101ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Bytes=1,024 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/Xxh3Impl.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #11","3s 101ms - 3s 101ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Bytes=2,048 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/Xxh3Impl.class""   
Class=""java.io.FileInputStream""","1"
